,Name,Platform_Name,Release_Date,New_Release_Date,Release_Year
0,The Legend of Zelda: Ocarina of Time,Nintendo64,23-Nov-98,1998-11-23,1998
1,Tony Hawk's Pro Skater 2,PlayStation,20-Sep-00,2000-09-20,2000
2,Grand Theft Auto IV,PlayStation3,29-Apr-08,2008-04-29,2008
3,SoulCalibur,Dreamcast,08-Sep-99,1999-09-08,1999
4,Grand Theft Auto IV,Xbox360,29-Apr-08,2008-04-29,2008
5,Super Mario Galaxy,Wii,12-Nov-07,2007-11-12,2007
6,Super Mario Galaxy 2,Wii,23-May-10,2010-05-23,2010
7,Red Dead Redemption 2,XboxOne,26-Oct-18,2018-10-26,2018
8,Grand Theft Auto V,XboxOne,18-Nov-14,2014-11-18,2014
9,Grand Theft Auto V,PlayStation3,17-Sep-13,2013-09-17,2013
10,Grand Theft Auto V,Xbox360,17-Sep-13,2013-09-17,2013
11,Tony Hawk's Pro Skater 2,Dreamcast,06-Nov-00,2000-11-06,2000
12,The Legend of Zelda: Breath of the Wild,Switch,03-Mar-17,2017-03-03,2017
13,Tony Hawk's Pro Skater 3,PlayStation2,28-Oct-01,2001-10-28,2001
14,Perfect Dark,Nintendo64,22-May-00,2000-05-22,2000
15,Red Dead Redemption 2,PlayStation4,26-Oct-18,2018-10-26,2018
16,Grand Theft Auto V,PlayStation4,18-Nov-14,2014-11-18,2014
17,Metroid Prime,GameCube,17-Nov-02,2002-11-17,2002
18,Grand Theft Auto III,PlayStation2,22-Oct-01,2001-10-22,2001
19,Super Mario Odyssey,Switch,27-Oct-17,2017-10-27,2017
20,Halo: Combat Evolved,Xbox,14-Nov-01,2001-11-14,2001
21,NFL 2K1,Dreamcast,07-Sep-00,2000-09-07,2000
22,Half-Life 2,PC,16-Nov-04,2004-11-16,2004
23,Grand Theft Auto V,PC,13-Apr-15,2015-04-13,2015
24,The Legend of Zelda: Breath of the Wild,WiiU,03-Mar-17,2017-03-03,2017
25,BioShock,Xbox360,21-Aug-07,2007-08-21,2007
26,GoldenEye 007,Nintendo64,25-Aug-97,1997-08-25,1997
27,Uncharted 2: Among Thieves,PlayStation3,13-Oct-09,2009-10-13,2009
28,Resident Evil 4,GameCube,11-Jan-05,2005-01-11,2005
29,The Orange Box,Xbox360,10-Oct-07,2007-10-10,2007
30,The Orange Box,PC,10-Oct-07,2007-10-10,2007
31,Batman: Arkham City,PlayStation3,18-Oct-11,2011-10-18,2011
32,Tekken 3,PlayStation,29-Apr-98,1998-04-29,1998
33,Mass Effect 2,Xbox360,26-Jan-10,2010-01-26,2010
34,The Legend of Zelda: Twilight Princess,GameCube,11-Dec-06,2006-12-11,2006
35,The Elder Scrolls V: Skyrim,Xbox360,11-Nov-11,2011-11-11,2011
36,Half-Life,PC,19-Nov-98,1998-11-19,1998
37,Resident Evil 4,PlayStation2,25-Oct-05,2005-10-25,2005
38,The Legend of Zelda: The Wind Waker,GameCube,24-Mar-03,2003-03-24,2003
39,Gran Turismo,PlayStation,30-Apr-98,1998-04-30,1998
40,BioShock,PC,21-Aug-07,2007-08-21,2007
41,Metal Gear Solid 2: Sons of Liberty,PlayStation2,12-Nov-01,2001-11-12,2001
42,Grand Theft Auto Double Pack,Xbox,31-Oct-03,2003-10-31,2003
43,Baldur's Gate II: Shadows of Amn,PC,24-Sep-00,2000-09-24,2000
44,Grand Theft Auto: San Andreas,PlayStation2,26-Oct-04,2004-10-26,2004
45,Grand Theft Auto: Vice City,PlayStation2,27-Oct-02,2002-10-27,2002
46,LittleBigPlanet,PlayStation3,27-Oct-08,2008-10-27,2008
47,The Legend of Zelda Collector's Edition,GameCube,17-Nov-03,2003-11-17,2003
48,Red Dead Redemption,PlayStation3,18-May-10,2010-05-18,2010
49,Gran Turismo 3: A-Spec,PlayStation2,09-Jul-01,2001-07-09,2001
50,Halo 2,Xbox,09-Nov-04,2004-11-09,2004
51,The Legend of Zelda: A Link to the Past,GameBoyAdvance,03-Dec-02,2002-12-03,2002
52,The Legend of Zelda: Majora's Mask,Nintendo64,25-Oct-00,2000-10-25,2000
53,The Last of Us,PlayStation3,14-Jun-13,2013-06-14,2013
54,The Legend of Zelda: Twilight Princess,Wii,19-Nov-06,2006-11-19,2006
55,Madden NFL 2003,PlayStation2,12-Aug-02,2002-08-12,2002
56,Tony Hawk's Pro Skater 2,GameBoyAdvance,30-May-01,2001-05-30,2001
57,Persona 5 Royal,PlayStation4,31-Mar-20,2020-03-31,2020
58,The Last of Us Remastered,PlayStation4,29-Jul-14,2014-07-29,2014
59,Portal 2,PC,18-Apr-11,2011-04-18,2011
60,Red Dead Redemption,Xbox360,18-May-10,2010-05-18,2010
61,Portal 2,Xbox360,19-Apr-11,2011-04-19,2011
62,Metal Gear Solid V: The Phantom Pain,XboxOne,01-Sep-15,2015-09-01,2015
63,Portal 2,PlayStation3,19-Apr-11,2011-04-19,2011
64,World of Goo,Wii,13-Oct-08,2008-10-13,2008
65,The Elder Scrolls V: Skyrim,PC,10-Nov-11,2011-11-10,2011
66,BioShock Infinite,PlayStation3,26-Mar-13,2013-03-26,2013
67,Final Fantasy IX,PlayStation,13-Nov-00,2000-11-13,2000
68,Call of Duty: Modern Warfare 2,PlayStation3,10-Nov-09,2009-11-10,2009
69,God of War,PlayStation4,20-Apr-18,2018-04-20,2018
70,Tony Hawk's Pro Skater 4,PlayStation2,23-Oct-02,2002-10-23,2002
71,Devil May Cry,PlayStation2,16-Oct-01,2001-10-16,2001
72,Call of Duty 4: Modern Warfare,PlayStation3,05-Nov-07,2007-11-05,2007
73,Madden NFL 2002,PlayStation2,19-Aug-01,2001-08-19,2001
74,Batman: Arkham City,Xbox360,18-Oct-11,2011-10-18,2011
75,Mass Effect 2,PC,26-Jan-10,2010-01-26,2010
76,The Legend of Zelda: Ocarina of Time 3D,3DS,19-Jun-11,2011-06-19,2011
77,Chrono Cross,PlayStation,15-Aug-00,2000-08-15,2000
78,Celeste,XboxOne,26-Jan-18,2018-01-26,2018
79,BioShock,PlayStation3,21-Oct-08,2008-10-21,2008
80,Mass Effect 2,PlayStation3,17-Jan-11,2011-01-17,2011
81,Grand Theft Auto: Vice City,PC,12-May-03,2003-05-12,2003
82,Madden NFL 2004,PlayStation2,12-Aug-03,2003-08-12,2003
83,Gears of War,Xbox360,07-Nov-06,2006-11-07,2006
84,The Elder Scrolls IV: Oblivion,Xbox360,20-Mar-06,2006-03-20,2006
85,Sid Meier's Civilization II,PC,29-Feb-96,1996-02-29,1996
86,Quake,PC,22-Jun-96,1996-06-22,1996
87,Call of Duty 4: Modern Warfare,Xbox360,05-Nov-07,2007-11-05,2007
88,BioShock Infinite,PC,25-Mar-13,2013-03-25,2013
89,Halo 3,Xbox360,25-Sep-07,2007-09-25,2007
90,Ninja Gaiden Black,Xbox,20-Sep-05,2005-09-20,2005
91,The Elder Scrolls IV: Oblivion,PC,20-Mar-06,2006-03-20,2006
92,Street Fighter IV,PlayStation3,17-Feb-09,2009-02-17,2009
93,Super Mario Advance 4: Super Mario Bros. 3,GameBoyAdvance,21-Oct-03,2003-10-21,2003
94,Jet Grind Radio,Dreamcast,30-Oct-00,2000-10-30,2000
95,Metal Gear Solid,PlayStation,21-Oct-98,1998-10-21,1998
96,Grim Fandango,PC,14-Oct-98,1998-10-14,1998
97,Tom Clancy's Splinter Cell Chaos Theory,Xbox,28-Mar-05,2005-03-28,2005
98,Burnout 3: Takedown,Xbox,07-Sep-04,2004-09-07,2004
99,Diablo,PC,31-Dec-96,1996-12-31,1996
100,Metal Gear Solid 3: Subsistence,PlayStation2,14-Mar-06,2006-03-14,2006
101,Call of Duty: Modern Warfare 2,Xbox360,10-Nov-09,2009-11-10,2009
102,Metal Gear Solid 4: Guns of the Patriots,PlayStation3,12-Jun-08,2008-06-12,2008
103,NCAA Football 2004,PlayStation2,16-Jul-03,2003-07-16,2003
104,God of War,PlayStation2,22-Mar-05,2005-03-22,2005
105,Star Wars: Knights of the Old Republic,Xbox,17-Jul-03,2003-07-17,2003
106,Sid Meier's Civilization IV,PC,25-Oct-05,2005-10-25,2005
107,Madden NFL 2004,GameCube,12-Aug-03,2003-08-12,2003
108,Virtua Fighter 4,PlayStation2,17-Mar-02,2002-03-17,2002
109,Super Mario 64,Nintendo64,26-Sep-96,1996-09-26,1996
110,The Witcher 3: Wild Hunt,PC,18-May-15,2015-05-18,2015
111,Burnout 3: Takedown,PlayStation2,07-Sep-04,2004-09-07,2004
112,Super Smash Bros. Brawl,Wii,09-Mar-08,2008-03-09,2008
113,Company of Heroes,PC,13-Sep-06,2006-09-13,2006
114,Gran Turismo 2,PlayStation,30-Nov-99,1999-11-30,1999
115,The Last of Us Part II,PlayStation4,19-Jun-20,2020-06-19,2020
116,Tom Clancy's Splinter Cell Pandora Tomorrow,Xbox,23-Mar-04,2004-03-23,2004
117,Grand Theft Auto: Chinatown Wars,DS,17-Mar-09,2009-03-17,2009
118,Divinity: Original Sin II - Definitive Edition,Switch,04-Sep-19,2019-09-04,2019
119,Pac-Man Championship Edition DX,Xbox360,17-Nov-10,2010-11-17,2010
120,Street Fighter Alpha 3,PlayStation,30-Apr-99,1999-04-30,1999
121,Tony Hawk's Pro Skater 3,Xbox,04-Mar-02,2002-03-04,2002
122,Hades,Switch,17-Sep-20,2020-09-17,2020
123,Half-Life: Alyx,PC,23-Mar-20,2020-03-23,2020
124,Divinity: Original Sin II,PC,14-Sep-17,2017-09-14,2017
125,Unreal Tournament 2004,PC,16-Mar-04,2004-03-16,2004
126,BioShock Infinite,Xbox360,26-Mar-13,2013-03-26,2013
127,Braid,Xbox360,06-Aug-08,2008-08-06,2008
128,God of War II,PlayStation2,13-Mar-07,2007-03-13,2007
129,Super Mario 3D World,WiiU,22-Nov-13,2013-11-22,2013
130,Ori and the Will of the Wisps,Switch,17-Sep-20,2020-09-17,2020
131,Starcraft II: Wings of Liberty,PC,27-Jul-10,2010-07-27,2010
132,SSX,PlayStation2,30-Oct-00,2000-10-30,2000
133,Street Fighter IV,Xbox360,17-Feb-09,2009-02-17,2009
134,Minecraft,PC,18-Nov-11,2011-11-18,2011
135,Undertale,Switch,18-Sep-18,2018-09-18,2018
136,Persona 4 Golden,PlayStationVita,20-Nov-12,2012-11-20,2012
137,Persona 5,PlayStation4,04-Apr-17,2017-04-04,2017
138,Red Dead Redemption 2,PC,05-Nov-19,2019-11-05,2019
139,SSX 3,PlayStation2,20-Oct-03,2003-10-20,2003
140,Tom Clancy's Splinter Cell,Xbox,17-Nov-02,2002-11-17,2002
141,Grand Theft Auto III,PC,20-May-02,2002-05-20,2002
142,Quake III Arena,Dreamcast,22-Oct-00,2000-10-22,2000
143,Homeworld,PC,31-Aug-99,1999-08-31,1999
144,Okami,PlayStation2,19-Sep-06,2006-09-19,2006
145,The Elder Scrolls IV: Oblivion,PlayStation3,20-Mar-07,2007-03-20,2007
146,Fallout 3,Xbox360,28-Oct-08,2008-10-28,2008
147,Gears of War 2,Xbox360,07-Nov-08,2008-11-07,2008
148,SoulCalibur II,GameCube,27-Aug-03,2003-08-27,2003
149,World Soccer Winning Eleven 6 International,PlayStation2,11-Mar-03,2003-03-11,2003
150,NFL 2K3,PlayStation2,12-Aug-02,2002-08-12,2002
151,Mass Effect 3,Xbox360,06-Mar-12,2012-03-06,2012
152,Metal Gear Solid V: The Phantom Pain,PlayStation4,01-Sep-15,2015-09-01,2015
153,Skies of Arcadia,Dreamcast,13-Nov-00,2000-11-13,2000
154,The Legend of Zelda: Skyward Sword,Wii,20-Nov-11,2011-11-20,2011
155,Mario Kart Super Circuit,GameBoyAdvance,26-Aug-01,2001-08-26,2001
156,Rock Band 3,Xbox360,26-Oct-10,2010-10-26,2010
157,Viewtiful Joe,GameCube,07-Oct-03,2003-10-07,2003
158,Test Drive Le Mans,Dreamcast,13-Nov-00,2000-11-13,2000
