Developer,Genre,Count
Capcom,Action Adventure,120
Capcom,Action,92
Capcom,2D,60
Capcom,Fighting,47
Capcom,Role-Playing,44
Capcom,Miscellaneous,30
Capcom,Compilation,28
Capcom,General,26
Capcom,Fantasy,22
Capcom,3D,20
Capcom,Platformer,16
Capcom,Shooter,16
Capcom,Third-Person,16
Capcom,Adventure,14
Capcom,Arcade,9
Capcom,First-Person,5
Capcom,Modern,5
Capcom,Driving,3
Capcom,Racing,3
Capcom,Simulation,3
Capcom,Sports,1
Codemasters,Racing,87
Codemasters,Automobile,76
Codemasters,Simulation,68
Codemasters,Driving,56
Codemasters,Arcade,11
Codemasters,Action,6
Codemasters,First-Person,6
Codemasters,Modern,6
Codemasters,Shooter,6
Codemasters,General,5
Codemasters,Sports,5
Codemasters,Traditional,4
Codemasters,Sim,2
Codemasters,Soccer,2
Codemasters,Team,2
EACanada,Sports,151
EACanada,Traditional,135
EACanada,Sim,107
EACanada,Team,75
EACanada,Soccer,64
EACanada,Basketball,44
EACanada,Arcade,24
EACanada,Driving,17
EACanada,Racing,17
EACanada,Individual,11
EACanada,Automobile,8
EACanada,Simulation,8
EACanada,General,6
EACanada,Miscellaneous,4
EACanada,Action,3
EACanada,3D,1
EACanada,Action Adventure,1
EACanada,Fantasy,1
EACanada,Fighting,1
EACanada,First-Person,1
EACanada,Football,1
EACanada,Shooter,1
EASports,Sports,181
EASports,Sim,158
EASports,Traditional,154
EASports,Team,84
EASports,Football,48
EASports,Soccer,35
EASports,Basketball,25
EASports,Driving,14
EASports,Racing,14
EASports,Arcade,13
EASports,Individual,13
EASports,General,4
EASports,Automobile,2
EASports,Simulation,2
EATiburon,Sports,85
EATiburon,Traditional,81
EATiburon,Football,72
EATiburon,Sim,65
EATiburon,Team,50
EATiburon,Arcade,16
EATiburon,Individual,13
EATiburon,Driving,11
EATiburon,Racing,11
EATiburon,Action,6
EATiburon,Automobile,4
EATiburon,Simulation,4
EATiburon,2D,3
EATiburon,Action Adventure,2
EATiburon,Fighting,2
EATiburon,Platformer,1
Electronic Arts,Sports,50
Electronic Arts,Sim,38
Electronic Arts,Traditional,34
Electronic Arts,Team,33
Electronic Arts,Soccer,20
Electronic Arts,Miscellaneous,18
Electronic Arts,Action Adventure,11
Electronic Arts,Action,10
Electronic Arts,Arcade,10
Electronic Arts,Racing,9
Electronic Arts,Driving,8
Electronic Arts,Fantasy,8
Electronic Arts,Individual,8
Electronic Arts,Shooter,8
Electronic Arts,General,7
Electronic Arts,Simulation,7
Electronic Arts,First-Person,6
Electronic Arts,Basketball,5
Electronic Arts,Modern,4
Electronic Arts,Automobile,2
Electronic Arts,Third-Person,2
Electronic Arts,3D,1
Electronic Arts,Football,1
Electronic Arts,Platformer,1
Electronic Arts,Role-Playing,1
Konami,Sports,75
Konami,Sim,57
Konami,Soccer,53
Konami,Team,52
Konami,Action,51
Konami,Traditional,48
Konami,Miscellaneous,32
Konami,General,16
Konami,2D,13
Konami,Arcade,11
Konami,Platformer,11
Konami,Action Adventure,10
Konami,Shooter,10
