Developer,Genre,Release Year
Nintendo,Action Adventure,1998
Nintendo,Fantasy,1998
Nintendo,Action,2007
Nintendo,Platformer,2007
Nintendo,3D,2007
Nintendo,Action Adventure,2017
Nintendo,Action,2017
Nintendo,Platformer,2017
Nintendo,3D,2017
Visual Concepts,Sports,2000
Visual Concepts,Traditional,2000
Visual Concepts,Football,2000
Visual Concepts,Sim,2000
Nintendo,Fantasy,2017
Nintendo,Action Adventure,2017
Capcom,Action Adventure,2005
Nintendo,Action Adventure,2006
Nintendo,Fantasy,2006
Capcom,Action Adventure,2005
Nintendo,Action Adventure,2003
Nintendo,Fantasy,2003
Nintendo,Action Adventure,2003
Nintendo,Fantasy,2003
Capcom,Action Adventure,2002
Capcom,Fantasy,2002
Nintendo,Action Adventure,2000
Nintendo,Fantasy,2000
Nintendo,Action Adventure,2006
Nintendo,Fantasy,2006
Nintendo,General,2006
EASports,Sports,2002
EASports,Traditional,2002
EASports,Football,2002
EASports,Sim,2002
Capcom,Action Adventure,2001
Capcom,Fantasy,2001
EASports,Sports,2001
EASports,Traditional,2001
EASports,Football,2001
EASports,Sim,2001
EATiburon,Sports,2003
EATiburon,Traditional,2003
EATiburon,Football,2003
EATiburon,Sim,2003
Capcom,Action,2009
Capcom,Fighting,2009
Capcom,3D,2009
Capcom,2D,2009
Nintendo,Action,2003
Nintendo,Platformer,2003
Nintendo,2D,2003
Ubisoft Montreal,Action Adventure,2005
Ubisoft Montreal,Modern,2005
EASports,Sports,2003
EASports,Traditional,2003
EASports,Football,2003
EASports,Sim,2003
EATiburon,Sports,2003
EATiburon,Traditional,2003
EATiburon,Football,2003
EATiburon,Sim,2003
Nintendo,Action,1996
Nintendo,Platformer,1996
Nintendo,3D,1996
Capcom,Action,1999
Capcom,Fighting,1999
Capcom,2D,1999
Nintendo,Platformer,2013
Nintendo,3D,2013
Nintendo,Action,2013
Capcom,Action,2009
Capcom,Fighting,2009
Capcom,3D,2009
Capcom,2D,2009
EACanada,Sports,2003
Ubisoft Montreal,Action Adventure,2002
Ubisoft Montreal,Modern,2002
Visual Concepts,Sports,2002
Visual Concepts,Traditional,2002
Visual Concepts,Football,2002
Visual Concepts,Sim,2002
Nintendo,Action Adventure,2011
Nintendo,Fantasy,2011
Nintendo,General,2011
Visual Concepts,Sports,2000
Visual Concepts,Traditional,2000
Visual Concepts,Basketball,2000
Visual Concepts,Sim,2000
Konami,Action,1997
Konami,Platformer,1997
Konami,2D,1997
Nintendo,Miscellaneous,2009
Nintendo,General,2009
Visual Concepts,Sports,2001
Visual Concepts,Traditional,2001
Visual Concepts,Basketball,2001
Visual Concepts,Sim,2001
Ubisoft,Action Adventure,2003
Ubisoft,Fantasy,2003
Visual Concepts,Sports,2002
Visual Concepts,Traditional,2002
Visual Concepts,Football,2002
Visual Concepts,Sim,2002
