name,platform,r-date,developer,genre,players
The Legend of Zelda: Ocarina of Time,Nintendo64,23-Nov-98,Nintendo,"Action Adventure,Fantasy",1 Player
Tony Hawk's Pro Skater 2,PlayStation,20-Sep-00,NeversoftEntertainment,"Sports,Alternative,Skateboarding",02-Jan
Grand Theft Auto IV,PlayStation3,29-Apr-08,RockstarNorth,"Action Adventure,Modern,Modern,Open-World",1 Player
SoulCalibur,Dreamcast,08-Sep-99,Namco,"Action,Fighting,3D",02-Jan
Grand Theft Auto IV,Xbox360,29-Apr-08,RockstarNorth,"Action Adventure,Modern,Modern,Open-World",1 Player
Super Mario Galaxy,Wii,12-Nov-07,Nintendo,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer
Super Mario Galaxy 2,Wii,23-May-10,NintendoEADTokyo,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer
Red Dead Redemption 2,XboxOne,26-Oct-18,RockstarGames,"Action Adventure,Open-World",Up to 32 
Grand Theft Auto V,XboxOne,18-Nov-14,RockstarNorth,"Action Adventure,Modern,Open-World",Up to 30 
Grand Theft Auto V,PlayStation3,17-Sep-13,RockstarNorth,"Modern,Action Adventure,Modern,Open-World",Up to 16 
Grand Theft Auto V,Xbox360,17-Sep-13,RockstarNorth,"Modern,Action Adventure,Modern,Open-World",Up to 16 
Tony Hawk's Pro Skater 2,Dreamcast,06-Nov-00,Treyarch,"Sports,Alternative,Skateboarding",No info
The Legend of Zelda: Breath of the Wild,Switch,03-Mar-17,Nintendo,"Action Adventure,Open-World",No Online Multiplayer
Tony Hawk's Pro Skater 3,PlayStation2,28-Oct-01,NeversoftEntertainment,"Sports,Alternative,Skateboarding",02-Jan
Perfect Dark,Nintendo64,22-May-00,RareLtd.,"Action,Shooter,First-Person,Sci-Fi",No info
Red Dead Redemption 2,PlayStation4,26-Oct-18,RockstarGames,"Action Adventure,Open-World",Up to 32 
Grand Theft Auto V,PlayStation4,18-Nov-14,RockstarNorth,"Action Adventure,Modern,Open-World",Up to 30 
Metroid Prime,GameCube,17-Nov-02,RetroStudios,"Action,Shooter,First-Person,Sci-Fi",1 Player
Grand Theft Auto III,PlayStation2,22-Oct-01,DMADesign,"Action Adventure,Modern",1 Player
Super Mario Odyssey,Switch,27-Oct-17,Nintendo,"Action,Platformer,3D",No Online Multiplayer
Halo: Combat Evolved,Xbox,14-Nov-01,BungieSoftware,"Action,Shooter,First-Person,Sci-Fi",04-Jan
NFL 2K1,Dreamcast,07-Sep-00,VisualConcepts,"Sports,Traditional,Football,Sim",No info
Half-Life 2,PC,16-Nov-04,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer
Grand Theft Auto V,PC,13-Apr-15,RockstarNorth,"Modern,Action Adventure,Open-World",Up to 32 
The Legend of Zelda: Breath of the Wild,WiiU,03-Mar-17,Nintendo,"Fantasy,Fantasy,Action Adventure,Open-World",No Online Multiplayer
BioShock,Xbox360,21-Aug-07,"IrrationalGames,2KMarin","Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer
GoldenEye 007,Nintendo64,25-Aug-97,RareLtd.,"Action,Shooter,First-Person,Modern",04-Jan
Uncharted 2: Among Thieves,PlayStation3,13-Oct-09,NaughtyDog,"Action Adventure,Modern,Modern,Linear",No Online Multiplayer
Resident Evil 4,GameCube,11-Jan-05,Capcom,"Action Adventure,Horror",1 Player
The Orange Box,Xbox360,10-Oct-07,ValveSoftware,"Action,Miscellaneous,Shooter,Compilation,First-Person,Sci-Fi",Up to 16 
