,platform,genre,players
0,Nintendo64,Action Adventure,1 Player
0,Nintendo64,Fantasy,1 Player
1,PlayStation,Sports,02-Jan
2,PlayStation3,Action Adventure,1 Player
2,PlayStation3,Modern,1 Player
2,PlayStation3,Modern,1 Player
2,PlayStation3,Open-World,1 Player
3,Dreamcast,Action,02-Jan
3,Dreamcast,Fighting,02-Jan
3,Dreamcast,3D,02-Jan
4,Xbox360,Action Adventure,1 Player
4,Xbox360,Modern,1 Player
4,Xbox360,Modern,1 Player
4,Xbox360,Open-World,1 Player
5,Wii,Action,No Online Multiplayer
5,Wii,Platformer,No Online Multiplayer
5,Wii,Platformer,No Online Multiplayer
5,Wii,3D,No Online Multiplayer
5,Wii,3D,No Online Multiplayer
6,Wii,Action,No Online Multiplayer
6,Wii,Platformer,No Online Multiplayer
6,Wii,Platformer,No Online Multiplayer
6,Wii,3D,No Online Multiplayer
6,Wii,3D,No Online Multiplayer
9,PlayStation3,Modern,Up to 16 
9,PlayStation3,Action Adventure,Up to 16 
9,PlayStation3,Modern,Up to 16 
9,PlayStation3,Open-World,Up to 16 
10,Xbox360,Modern,Up to 16 
10,Xbox360,Action Adventure,Up to 16 
10,Xbox360,Modern,Up to 16 
10,Xbox360,Open-World,Up to 16 
12,Switch,Action Adventure,No Online Multiplayer
12,Switch,Open-World,No Online Multiplayer
13,PlayStation2,Sports,02-Jan
17,GameCube,Action,1 Player
17,GameCube,Shooter,1 Player
17,GameCube,First-Person,1 Player
17,GameCube,Sci-Fi,1 Player
18,PlayStation2,Action Adventure,1 Player
18,PlayStation2,Modern,1 Player
19,Switch,Action,No Online Multiplayer
19,Switch,Platformer,No Online Multiplayer
19,Switch,3D,No Online Multiplayer
20,Xbox,Action,04-Jan
20,Xbox,Shooter,04-Jan
20,Xbox,First-Person,04-Jan
20,Xbox,Sci-Fi,04-Jan
22,PC,Action,No Online Multiplayer
22,PC,Shooter,No Online Multiplayer
22,PC,Shooter,No Online Multiplayer
22,PC,First-Person,No Online Multiplayer
22,PC,Sci-Fi,No Online Multiplayer
22,PC,Sci-Fi,No Online Multiplayer
